t_ms	level_dbfs
248.666666667	-40.1714285714
248.75	-40.1714285714
248.833333333	-40.1714285714
248.916666667	-40.1714285714
249	-40.1714285714
249.083333333	-40.1714285714
249.166666667	-40.1714285714
249.25	-40.1714285714
249.333333333	-40.1714285714
249.416666667	-40.1714285714
249.5	-40.1714285714
249.583333333	-40.1714285714
249.666666667	-40.1714285714
249.75	-40.1714285714
249.833333333	-40.1714285714
249.916666667	-40.1714285714
250	-40.1714285714
250.083333333	-40.1714285714
250.166666667	-40.1714285714
250.25	-40.1714285714
250.333333333	-40.1714285714
250.416666667	-40.1714285714
250.5	-40.1714285714
250.583333333	-40.1714285714
250.666666667	-40.1714285714
250.75	-40.1714285714
250.833333333	-40.1714285714
250.916666667	-40.1714285714
251	-40.1714285714
251.083333333	-40.1714285714
251.166666667	-40.1714285714
251.25	-40.1714285714
251.333333333	-40.1714285714
251.416666667	-40.1714285714
251.5	-40.1714285714
251.583333333	-40.1714285714
251.666666667	-40.1714285714
251.75	-40.1714285714
251.833333333	-40.1714285714
251.916666667	-40.1714285714
252	-40.1714285714
252.083333333	-40.1714285714
252.166666667	-40.1714285714
252.25	-40.1714285714
252.333333333	-40.1714285714
252.416666667	-40.1714285714
252.5	-40.1714285714
252.583333333	-40.1714285714
252.666666667	-40.1714285714
252.75	-40.1714285714
252.833333333	-40.1714285714
252.916666667	-40.1714285714
253	-40.1714285714
253.083333333	-40.1714285714
253.166666667	-40.1714285714
253.25	-40.1714285714
253.333333333	-40.1714285714
253.416666667	-40.1714285714
253.5	-40.1714285714
253.583333333	-40.1714285714
253.666666667	-40.1714285714
253.75	-40.1714285714
253.833333333	-40.1714285714
253.916666667	-40.1714285714
254	-40.1714285714
254.083333333	-40.1714285714
254.166666667	-40.1714285714
254.25	-40.1714285714
254.333333333	-40.1714285714
254.416666667	-40.1714285714
254.5	-40.1714285714
254.583333333	-40.1714285714
254.666666667	-40.1714285714
254.75	-40.1714285714
254.833333333	-40.1714285714
254.916666667	-40.1714285714
255	-40.1714285714
255.083333333	-40.1714285714
255.166666667	-40.1714285714
255.25	-40.1714285714
255.333333333	-40.1714285714
255.416666667	-40.1714285714
255.5	-40.1714285714
255.583333333	-40.1714285714
255.666666667	-40.1714285714
255.75	-40.1714285714
255.833333333	-40.1714285714
255.916666667	-40.1714285714
256	-40.1714285714
256.083333333	-40.1714285714
256.166666667	-40.1714285714
256.25	-40.1714285714
256.333333333	-40.1714285714
256.416666667	-40.1714285714
256.5	-40.1714285714
256.583333333	-40.1714285714
256.666666667	-40.1714285714
256.75	-40.1714285714
256.833333333	-40.1714285714
256.916666667	-40.1714285714
257	-40.1714285714
257.083333333	-40.1714285714
257.166666667	-40.1714285714
